ci_low,Median,ci_high,Model,Metric,Prediction Interval,Exclusion Interval,exp_id
,"{""precision"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05128205128205128], ""recall"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0], ""tpr"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0], ""fpr"": [0.013157894736842105, 0.14035087719298245, 0.29385964912280704, 0.4298245614035088, 0.5745614035087719, 0.7456140350877193, 0.9736842105263158], ""odds_ratio"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], ""thresholds"": [0.16350853443145752, 0.13136395812034607, 0.1281227320432663, 0.12381109595298767, 0.11849794536828995, 0.11603186279535294, 0.10724256932735443], ""cm"": [45.0, 183.0, 0.0, 12.0]}",,transformer,curves,3,0,392892907ec50190a3b6d37ba1af4481
0.02899000000000002,0.05,0.0792,transformer,incidence,3,0,392892907ec50190a3b6d37ba1af4481
0.15934541062801932,0.20940170940170943,0.2691547062679247,transformer,auroc,3,0,392892907ec50190a3b6d37ba1af4481
0.738187116966846,0.8,0.8533390804597701,transformer,fpr,3,0,392892907ec50190a3b6d37ba1af4481
1.0,1.0,1.0,transformer,tpr,3,0,392892907ec50190a3b6d37ba1af4481
0.017437907451156243,0.031423159733506664,0.05056594185962511,transformer,auprc,3,0,392892907ec50190a3b6d37ba1af4481
0.03468885518929418,0.06217616580310881,0.1,transformer,precision,3,0,392892907ec50190a3b6d37ba1af4481
1.0,1.0,1.0,transformer,recall,3,0,392892907ec50190a3b6d37ba1af4481
0.0,0.0,0.0,transformer,odds_ratio,3,0,392892907ec50190a3b6d37ba1af4481
0.11168038100004196,0.11168038100004196,0.11168038100004196,transformer,thershold,3,0,392892907ec50190a3b6d37ba1af4481
,"{""precision"": [0.0, 0.0, 0.0, 0.030612244897959183, 0.022900763358778626, 0.052941176470588235, 0.08974358974358974], ""recall"": [0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 1.0], ""tpr"": [0.0, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 1.0], ""fpr"": [0.0136986301369863, 0.1461187214611872, 0.3059360730593607, 0.4337899543378995, 0.5844748858447488, 0.7351598173515982, 0.9726027397260274], ""odds_ratio"": [0.0, 0.0, 0.0, 0.2175438596491228, 0.11848958333333334, 0.2701863354037267, 0.0], ""thresholds"": [0.16350853443145752, 0.13136395812034607, 0.1281227320432663, 0.12381109595298767, 0.11849794536828995, 0.11603186279535294, 0.10724256932735443], ""cm"": [45.0, 174.0, 0.0, 21.0]}",,transformer,curves,6,0,392892907ec50190a3b6d37ba1af4481
0.05,0.0875,0.12100999999999994,transformer,incidence,6,0,392892907ec50190a3b6d37ba1af4481
